Recency,Frequency,Revenue,Revenue_per_Transaction,m6_Revenue,CustomerID,LTVCluster
131,1,77183.6,77183.6,0.0,12346.0,0
52,3,1823.43,607.8100000000001,2261.75,12347.0,1
54,3,1487.24,495.74666666666667,310.0,12348.0,0
116,1,334.4,334.4,0.0,12350.0,0
68,5,1561.81,312.36199999999997,944.23,12352.0,0
10,1,89.0,89.0,0.0,12353.0,0
38,1,1079.4,1079.4,0.0,12354.0,0
20,1,459.4,459.4,0.0,12355.0,0
51,2,2753.08,1376.54,58.349999999999994,12356.0,0
111,2,2386.41,1193.205,3986.17,12359.0,1
6,1,1083.58,1083.58,1578.48,12360.0,1
93,1,189.9,189.9,0.0,12361.0,0
31,2,974.34,487.17,3722.85,12362.0,1
48,1,299.1,299.1,252.9,12363.0,0
97,2,641.38,320.69,0.0,12365.0,0
80,3,2806.41,935.4699999999999,739.28,12370.0,0
18,2,914.9200000000001,457.46000000000004,383.12,12372.0,0
117,1,364.6,364.6,0.0,12373.0,0
121,2,1628.12,814.06,0.0,12377.0,0
44,4,1751.11,437.7775,99.45,12383.0,0
143,2,401.9,200.95,0.0,12386.0,0
81,3,766.25,255.41666666666666,2014.41,12388.0,1
51,3,1061.1000000000001,353.70000000000005,521.5,12393.0,0
23,1,381.08,381.08,891.4,12394.0,0
17,6,1569.72,261.62,1448.91,12395.0,1
19,2,768.95,384.475,339.7,12399.0,0
109,1,84.3,84.3,0.0,12401.0,0
129,1,225.6,225.6,0.0,12402.0,0
41,2,495.96,247.98,1212.16,12407.0,0
66,2,837.59,418.795,2050.96,12408.0,1
114,2,693.3299999999999,346.66499999999996,0.0,12410.0,0
42,2,563.9,281.95,194.20000000000002,12413.0,0
23,3,562.41,187.47,0.0,12414.0,0
31,4,1461.08,365.27,1818.29,12417.0,1
125,1,157.45,157.45,649.59,12421.0,0
130,1,238.5,238.5,565.0600000000001,12422.0,0
6,5,1366.77,273.354,283.9,12423.0,0
0,1,582.73,582.73,0.0,12426.0,0
177,1,303.5,303.5,522.3,12427.0,0
48,6,6310.54,1051.7566666666667,1645.92,12428.0,1
33,2,1719.48,859.74,1125.4,12429.0,0
6,7,3158.53,451.21857142857147,3328.92,12431.0,1
172,2,3787.12,1893.56,4106.77,12433.0,1
66,1,286.25,286.25,519.89,12434.0,0
74,1,3978.9900000000002,3978.9900000000002,3850.9,12435.0,1
4,8,1975.09,246.88625,2518.01,12437.0,1
172,1,173.55,173.55,0.0,12441.0,0
49,1,476.49,476.49,0.0,12447.0,0
